#### Annotations par 3 annotateurs (Adrien, Benoît, Lucie) de phrases extraites de Wikipedia 
#### adjudication et suppression des phrases mal formées et des formes seV
#### lexique pour le verbe abattre :
####	sens 1 : action de faire tomber (au sens propre et au sens figuré) Ex. abattre un arbre / un avion / 
####	sens 2 : action de tuer un être vivant ou de le tuer symboliquement Ex. abattre un homme / le bétail
####	sens 3 : causer un état mental Ex. être abattu par cette nouvelle
####	sens 4 : Vsup de travail et syn. : accomplir Ex. abattre un gros travail
####	sens 5 : faire descendre Ex. abattre une carte

abattre#1#	97	Ses murailles ont été abattues en 1958 .
abattre#2#	92	Il se rangea aux cotés de Luciano , dont il devint l'un des principaux lieutenants , lors de la guerre des Castellammarese , et faisait partie des " jeunes loups " que voulait abattre Salvatore Maranzano , parrain rival de Masseria .
abattre#2#	278	Sarpédon est abattu d'un coup de pique en plein coeur .
abattre#1#	356	ll ne fut pas rare qu'il abatte plusieurs avions en une journée , jusqu'à six les 9 mai et 26 septembre 1918 .
abattre#2#	368	Quant aux renforts humains envoyés par le Palmach et arrivés sur place avec du retard , ils seront dans leur totalité abattus lors du retrait .
abattre#1#	53	IAP \( = régiment de chasse aérienne \) , équipé de chasseur La- 5 , il prit part à la bataille de Stalingrad , au cours de laquelle , le 12 novembre 1942 , s'attaquant à 5 transports JunkerJu- 52 , il en abattit au moins 2 .
abattre#2#	65	Après avoir refusé d'obtempérer à un ordre de perquisition dans son domicile et avoir tiré deux balles dans la tête d'un officier de police , il est finalement abattu par les adjoints du shérif local .
abattre#1#	213	Le capitaine Henry T. Elrod , un pilotes du VMF- 211 fut décoré de la médaille d'honneur à titre posthume pour avoir abattu deux chasseurs A 6M Zero .
abattre#2#	25	Selon la presse locale , depuis le 13 mars , 240 000 poulets et 230 000 cailles ont été abattus dans plus de 400 élevages et environ 90 000 oeufs de poules et 60 000 oeufs de cailles ont été détruits , et il n'y aurait pas eu de nouveaux cas aviaires ni de cas humains \( source  : " New Light of Myanmar " \) .
abattre#2#	95	C'est ce dernier qui organise les représailles du " dimanche noir " , le 14 novembre 1937 , ou 8 passants \( 6 hommes et 2 femmes \) sont abattus [ 6 ] .
abattre#1#	154	Lors du siège de la Rochelle en 1628 , la grosse tour d'angle abritant un escalier à vis aurait été abattue .
abattre#2#	244	« faut les abattre dans le ciel , et ensuite en faire des tartes aux corbeaux  » .
